year,in,out
2004,388.1,200.4
2005,609.5,314.9
2006,696.2,346.5
2007,1082.6,427.8
2008,1241.8,483.2
2009,1192.4,628
2010,1905,540.1
2011,1785.1,576.3
2012,2286.8,646.1
2013,2026.1,713.4
2014,1668.8,625.1
2015,3734.8,607.9
2016,2662.8,679.7
2017,1645.2,599.7
2018,2457.2,763.6
2019,2304.4,750.2
2020,2593.6,877.4
2021,2743.1,966.4
2022,3176.9,916.5
